,cluster_id,num_genes,enriched_go_terms
0,0,25,[]
1,1,26,"[['GO:0009399', 'nitrogen fixation'], ['GO:0022900', 'electron transport chain'], ['GO:0016612', 'molybdenum-iron nitrogenase complex'], ['GO:0018697', 'carbonyl sulfide nitrogenase activity'], ['GO:0016163', 'nitrogenase activity'], ['GO:0046872', 'metal ion binding'], ['GO:0009055', 'electron transfer activity'], ['GO:0051539', '4 iron, 4 sulfur cluster binding']]"
2,2,29,"[['GO:0006313', 'transposition, DNA-mediated'], ['GO:0009432', 'SOS response'], ['GO:0004803', 'transposase activity'], ['GO:0003677', 'DNA binding']]"
3,3,301,[]
4,4,56,"[['GO:1902358', 'sulfate transmembrane transport'], ['GO:0015419', 'ABC-type sulfate transporter activity']]"
5,5,570,"[['GO:0000160', 'phosphorelay signal transduction system'], ['GO:0018106', 'peptidyl-histidine phosphorylation'], ['GO:0000155', 'phosphorelay sensor kinase activity']]"
6,6,227,[]
7,7,556,"[['GO:0009252', 'peptidoglycan biosynthetic process'], ['GO:0008360', 'regulation of cell shape']]"
8,8,102,"[['GO:0009236', 'cobalamin biosynthetic process']]"
9,9,180,"[['GO:0006412', 'translation'], ['GO:0006526', 'arginine biosynthetic process'], ['GO:0006364', 'rRNA processing'], ['GO:0005840', 'ribosome'], ['GO:0005737', 'cytoplasm'], ['GO:0003735', 'structural constituent of ribosome'], ['GO:0019843', 'rRNA binding'], ['GO:0000049', 'tRNA binding'], ['GO:0005524', 'ATP binding'], ['GO:0016021', 'integral component of membrane']]"
10,10,412,[]
11,11,66,"[['GO:0006313', 'transposition, DNA-mediated'], ['GO:0006278', 'RNA-dependent DNA biosynthetic process'], ['GO:0004803', 'transposase activity'], ['GO:0003677', 'DNA binding'], ['GO:0003964', 'RNA-directed DNA polymerase activity'], ['GO:0004802', 'transketolase activity']]"
12,12,13,[]
13,13,36,[]
14,14,633,"[['GO:0005737', 'cytoplasm'], ['GO:0009425', 'bacterial-type flagellum basal body'], ['GO:0016021', 'integral component of membrane']]"
15,15,40,"[['GO:0006808', 'regulation of nitrogen utilization'], ['GO:0042128', 'nitrate assimilation'], ['GO:0072488', 'ammonium transmembrane transport'], ['GO:0008519', 'ammonium transmembrane transporter activity'], ['GO:0008942', 'nitrite reductase [NAD(P)H] activity']]"
16,16,41,"[['GO:0015031', 'protein transport']]"
17,17,10,[]
18,18,9,"[['GO:0006725', 'cellular aromatic compound metabolic process'], ['GO:0015049', 'methane monooxygenase activity'], ['GO:0004497', 'monooxygenase activity']]"
19,19,15,"[['GO:0052933', 'alcohol dehydrogenase (cytochrome c(L)) activity']]"
20,20,27,"[['GO:0009399', 'nitrogen fixation'], ['GO:0022900', 'electron transport chain'], ['GO:0065003', 'protein-containing complex assembly'], ['GO:0051536', 'iron-sulfur cluster binding']]"
21,21,370,"[['GO:0003677', 'DNA binding']]"
22,22,10,[]
23,23,20,"[['GO:0000160', 'phosphorelay signal transduction system']]"
24,24,116,[]
25,25,11,"[['GO:0006935', 'chemotaxis'], ['GO:0007165', 'signal transduction']]"
26,26,18,"[['GO:0015031', 'protein transport']]"
27,27,150,"[['GO:0006412', 'translation'], ['GO:0009102', 'biotin biosynthetic process'], ['GO:0065002', 'intracellular protein transmembrane transport'], ['GO:0006605', 'protein targeting'], ['GO:0009097', 'isoleucine biosynthetic process'], ['GO:0006814', 'sodium ion transport'], ['GO:0015986', 'ATP synthesis coupled proton transport'], ['GO:0000105', 'histidine biosynthetic process'], ['GO:0043952', 'protein transport by the Sec complex'], ['GO:0009099', 'valine biosynthetic process'], ['GO:0006351', 'transcription, DNA-templated'], ['GO:0006189', ""'de novo' IMP biosynthetic process""], ['GO:0006414', 'translational elongation'], ['GO:0006457', 'protein folding'], ['GO:0005840', 'ribosome'], ['GO:0005737', 'cytoplasm'], ['GO:0015934', 'large ribosomal subunit'], ['GO:0045261', 'proton-transporting ATP synthase complex, catalytic core F(1)'], ['GO:0003735', 'structural constituent of ribosome'], ['GO:0019843', 'rRNA binding'], ['GO:0016655', 'oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor'], ['GO:0003924', 'GTPase activity'], ['GO:0046933', 'proton-transporting ATP synthase activity, rotational mechanism'], ['GO:0000287', 'magnesium ion binding'], ['GO:0005525', 'GTP binding'], ['GO:0003746', 'translation elongation factor activity'], ['GO:0016021', 'integral component of membrane']]"
28,28,85,"[['GO:0047985', 'hydrogen dehydrogenase activity']]"
29,29,51,"[['GO:0071973', 'bacterial-type flagellum-dependent cell motility'], ['GO:0044780', 'bacterial-type flagellum assembly'], ['GO:0009424', 'bacterial-type flagellum hook'], ['GO:0005576', 'extracellular region'], ['GO:0030694', 'bacterial-type flagellum basal body, rod'], ['GO:0009420', 'bacterial-type flagellum filament'], ['GO:0005198', 'structural molecule activity']]"
30,30,8,[]
